comment,conditionInfo,dateTime,easeOfUse,effectiveness,helpful,reviewerInfo,satisfaction,supplement
I take it for anxiety. 5-HTP stops the constant over active thinking and stress and allow me to rest.,"
					Reason for taking:
					,
					Reason for taking:
					",11/29/2007 5:24:02 AM,,,,,,5-HTP
"I have bipolar disorder. I am less symptomatic when taking 5-htp. I ran across it at my local department store. Since I am trying to lose weight, it helps me there too.  I can deal with issues that arise more easily.","
					Reason for taking:
					,
					Reason for taking:
					",9/25/2007 4:23:13 PM,,,,,,5-HTP
"My ADHD and OCD are particularly bad and work against eachother all the time. Starting taking medicine and realized I did not want to take anymore medicine than I was already on (2 pills per day). Began taking vitamins, dietary supplements, herbs and found ways to reduce my stress and get more exercise.  Among the 2 dietary supplements I take, this is one of them- 500 mg per day and it's been about 3-4 weeks on it. No side effects and yes, I do believe it works for my pms, adhd, ocd and symptoms of depression. I like it because it is multipurpose and seems to help in several areas.  Without taking as many herbs, supplements and vitamins as I do, I do not believe it would be enough to get me through the day by itself but wow, what a difference. More alert, calmer and much easier to focus day to day. Definitely, absolutely notice a difference without it from the before to the after.  Still waiting 1 or 2 more weeks before I notice a bigger difference.It is also one of the VERY few natural things made for both adhd and ocd at the same time.","
					Reason for taking:
					",10/10/2009 7:23:47 PM,,,,,,INOSITOL
"I recommend Hyaluronic Acid to everyone who has trigger thumb or knee pain.  Since taking hyaluronic acid, my thumbs are strong again and I no longer have that sharp pain in my knee.

Thank God for this stuff!
","
					Reason for taking:
					",10/16/2009 10:58:48 PM,,,,,,HYALURONIC ACID
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/6/2011 1:28:35 PM,,,,,,HORNY GOAT WEED
"This worked great for me! I took it for years. Then, i started noticing that my muscles (tendons in my arm) would ache at night. And, I started getting soreness under my nipples. It also appeared that I was getting a boob an the left side.

I went to the doctor and he researched goat wee through his medical sites and found that prolonged use could cause exactly what was happening to me. 
I since have discontinued use of goat weed and after about a month all of the above symptoms disappeared. 

Like I said, it worked great, but be careful of long term usage.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/11/2011 4:45:08 PM,,,,,,HORNY GOAT WEED
"I've been taking horny goat weed for 2 months now. I've seen major improvement in my energy level, memory, and sexual desire. I would recommend trying it before going to prescription drugs.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/4/2011 3:15:52 PM,,,,,,HORNY GOAT WEED
"I've only been taking it a couple of days. And some may say that is to soon to tell, but the first night I took it, I was full of energy and felt better than I have in a long time. I bought mine at Rite Aide.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/16/2010 10:32:50 AM,,,,,,HORNY GOAT WEED
"Had a difficult time lowering fasting numbers.   After 1 week fasting glucose 107.  Could not get it any lower than 140 before using Holy Basil.   So far, no side effects","
					Reason for taking:
					,
					Reason for taking:
					",4/12/2010 9:05:01 PM,,,,,,HOLY BASIL
"My 6 months granddaughter had a bad chest cold and her nose was filled with thick yellowish/greenish cold. The doctor said that there is no medication for so young children. We boiled a few leaves of Tulsi in water and put it in a humidifier. We then went into the room turn the humidifier on and she fell asleep and the cold and congestion was 75% gone. The next day we repeat it and she was cured of her cold. She did not get a cold until now she is 2 years old and again we repeat the process and she is okay again. 
We used the Tulsie tea for cold, no matter what age and it always help.","
					Reason for taking:
					,
					Reason for taking:
					",9/5/2009 12:46:12 AM,,,,,,HOLY BASIL
"Read it was healthy-tried it one day, was so weak and could hardly stand up, and muscles very achy (female reasons), took about 2 tbsp. in warm water. About 7 minutes later, could not believe it-all of this was gone! I actually felt better than normal. Talk about super fast! I was a believer from then on. I always feel better with this herb. I've tried 3-4 other herbs, and this works best and quickest. You'll be shocked how well it works too!","
					Reason for taking:
					,
					Reason for taking:
					",4/17/2012 1:27:06 AM,,,,,,GOTU KOLA
I had TMJ and I took gota kula for 3-6 months and my pain went away. now it has been 10+ yrs and I have not had the pain that I had before. it also has helped with my wrist pain. this stuff is great!,"
					Reason for taking:
					,
					Reason for taking:
					",1/29/2011 5:55:36 PM,,,,,,GOTU KOLA
"have extreme ferritin level in the liver had phlebotemy, want alternative means of expeling excess levels help...","
					Reason for taking:
					,
					Reason for taking:
					",3/8/2012 1:40:28 PM,,,,,,GLUTATHIONE
"I have been taking a supplement called MaxGXL. It is not glutathione-supplements that are glutathione are ineffective. MaxGXL gives the body the exact combination of ingredients necessary for the body to produce glutathione naturally in the cell. It is the only glutathione accelerator on the market clinically proven to work 100% of the time. All OTC glutathione supplements are ineffective because the molecules are too big and they are destroyed in the stomach before reaching the cells. I have never felt better! Inflammation issues have been resolved, I have amazing energy, I sleep better and my immune system has been significantly boosted...I rarely get sick. It is worth checking out! And be sure to google glutahione. Dr. Oz was just on TV talking about it. Info on Max can be found at www.looklivefeelbetter.com under cellular health.","
					Reason for taking:
					,
					Reason for taking:
					",4/7/2011 12:15:27 PM,,,,,,GLUTATHIONE
"I started taking this about 3 months ago. My total cholesterol has dropped 26 points. Also, it seems to keep my blood sugar from spiking after meals. It's just hard to remember to take it 30-60 minutes before a meal. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/22/2010 11:34:54 AM,,,,,,GLUCOMANNAN
yOU HAVE A FULL BOWEL MOVEMENT EVERY DAY SOMETIMES TWICE. NO CRAMPING OR STOMACH PRESSURE AT ALL. SATISFIED WITH THE PRODUCT.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/9/2010 11:47:13 AM,,,,,,GLUCOMANNAN
"I read about this treatment on-line and brought it to my PCP's attention.  After some research on his part, we met again and discussed the treatment.  He felt that if it did me some good, it was better than suffering with IBS and if it didn't work; it was a treatment we could check off of our list.  So far (45 days) the treatment has been working and my PCP is very pleased that I have found something that seems to bring relief.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/24/2009 7:35:46 AM,,,,,,GLUCOMANNAN
,"
					Reason for taking:
					",10/7/2007 2:39:03 PM,,,,,,GINKGO
"I have a juicer and often juice fruits and vegetables and recently I thought of adding ginger to the mix. I started to notice that whenever I had the ginger the swelling in my knees was significantly reduced later in the day and my stomach also seemed more calm and settled. Also, being a singer, I realized I could sing higher notes immediately after drinking the juice with the ginger. All in all it seems like a potent and immediate way to remove phlegm and inflammation from the body. ","
					Reason for taking:
					",7/9/2009 12:33:04 PM,,,,,,GINGER
"it has raised my hdl
u must drink a lot of water with it","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/1/2010 11:48:51 AM,,,,,,FENUGREEK
Fenugreek was recommended to my by a friend and I confirmed with my lactation consultant.  It helps to boost my milk supply.  I take it in capsule form once daily.  It also helps now that I am going to work because I am able to pump more milk in less time than I can without it.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/4/2009 11:06:18 AM,,,,,,FENUGREEK
"Ive been diagnosed w/ borferline high blood sugar107 and borferline high cholesterol...ben taking this and macuan prureins for a year at LEAST once a day, sometimes twice and got both down to acceptable lels,,,130 for total cholesterol and 902 for blood sugar w/ NO side effects","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/8/2009 10:28:16 AM,,,,,,FENUGREEK
I was having hot  flashes and it stop after just a few days of evening primrose oil,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/25/2010 8:55:02 PM,,,,,,EVENING PRIMROSE OIL
I take 2 soft gels in the morning and 2 at night and it helps a lot!!,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/23/2010 12:50:31 PM,,,,,,EVENING PRIMROSE OIL
"I think this helped ease the pain, but I also cut down my caffeine intake considerably (boooo) which directly relates to my pain.  I may be crazy...but I swear this boosts my metabolism.  I lost a few pounds for no reason after I started taking it. It could be a coincidence. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/26/2009 9:08:59 PM,,,,,,EVENING PRIMROSE OIL
"Very good for benign breast pain, but doesn't eliminate completely. Would be good to know of side effects. Skin looks great is an aded bonus","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/13/2009 1:30:15 PM,,,,,,EVENING PRIMROSE OIL
I take 150mg of zinc daily - 50 mg three times a day    ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/13/2009 9:42:10 PM,,,,,,ZINC
"i read that zinc is good for treating tennitis.
it seem to quite the hissing in my ear. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/30/2009 10:04:21 AM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/27/2007 11:51:09 PM,,,,,,ZINC
The Dr. put me on 50Mg. 3 times a day. The bottle said one a day. Is this safe?,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/14/2010 5:53:56 PM,,,,,,ZINC
"There is a terrible inconsistency in the advice in this article. In the Overview tab, it says at the bottom ""Low zinc levels can be associated ... HIV ... and can be fought by taking a zinc supplement.""

But in the Side Effects tab is says ""HIV (human immunodeficiency virus)/AIDS: Do not take zinc if you have HIV/AIDS. Zinc might shorten your life.""

I do not have HIV/AIDS, but I noticed the discrepency and didn't know where else to report it.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/17/2010 9:42:37 AM,,,,,,ZINC
"Prescribed for Burning Mouth Syndrome with Multivitamins.Taken for about six weeks. I have no change in my condition. In fact, I feel worse. I now also have a terrible metallic taste. I have stopped taking both.These were prescribed by an ENT.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/28/2010 3:12:29 PM,,,,,,ZINC
good,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/16/2010 3:58:10 PM,,,,,,ZINC
sorry,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/17/2010 1:11:07 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/15/2011 12:52:28 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/20/2011 3:17:37 PM,,,,,,ZINC
   After taking four doses of this product orally I have lost my sense of taste. ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/28/2010 10:01:18 AM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/6/2010 6:52:02 PM,,,,,,ZINC
I take Cold-Eze at first sign of a cold - anything cold remedy with zinc makes me feel terrible.  Would almost rather deal with the cold.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/24/2010 11:31:08 AM,,,,,,ZINC
Started treatment early at the first sign and it worked great every time.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/18/2011 11:32:53 AM,,,,,,ZINC
"I find at the bginning of cold sore i take 10 mgs of zince in morning and night, for several days. I find that it reduces the size and duration of cold sore.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/27/2011 11:16:52 PM,,,,,,ZINC
"I'm not sure what this drug did, but about 10% of my skin was covered with Psoriasis, and after a few weeks of this treatment it is completely gone! Miracle cure for me, though it hasn't worked for others I know. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/23/2011 10:02:08 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/21/2011 8:43:24 AM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/18/2011 12:29:19 PM,,,,,,ZINC
"Have had acne problems for 40+ years. Taking 30mg of zinc every other day really helps. In fact, my acne is nearly gone.
If I stop taking the zinc the acne starts back in about a week.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/22/2012 1:02:09 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/6/2012 1:53:21 PM,,,,,,ZINC
I had to double up from 50mg to 100 mg a day because of severe hair loss,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/2/2012 6:18:27 PM,,,,,,ZINC
Just took a while to find out the proper strenghth.  Don't over do it.  Unless other than normal conditions don't exceed 30 mg/day.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/15/2012 6:51:44 PM,,,,,,ZINC
"After being diagnosed with IBS-D, and trying everything possible, I came across an article talking about Zinc.  They were focused on treating children in foreign countries to help with chronic diarrhea and I thought Why Not?  I started taking a 50mg a day Zinc supplement, and I have not had a bought of Diarrhea since I started taking them 6 days ago.  For someone who has suffered daily with severe D for years, this is amazing! I may have to play with the dosage a bit, as I have noticed that too much can cause constipation.  Overall, it is a harmless supplement, and if you suffer from IBS-D I would suggest giving it a try.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/6/2012 9:19:38 AM,,,,,,ZINC
I am 59 yrs old.. and wanted a firmer erction... taking zinc pills has helped me attain that,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/26/2013 2:34:00 PM,,,,,,ZINC
"Zinc is very important when you have HIV (with no other co infections). For me, Zinc with a mixture of other important vitamins and minerals in a multi-vitamin early in HIV, maintains and decreases my viral load while boosting my CD4 count. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/13/2013 11:43:15 PM,,,,,,ZINC
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/13/2013 5:12:20 PM,,,,,,ZINC
"I start to take Zink for ED based on hint from older user. This really works, I got back my nightime/morning erections. Also Viagra works now. I assume Zink improves testosterone synthesis.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/13/2012 1:51:36 AM,,,,,,ZINC
